timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2529302720,0.2666076,-0.34407523,-0.041347306,0.056043576,0.026092108,-0.023578187,0.9978089,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529334721,-0.091728784,0.114396036,-0.006737567,0.05633779,0.026035944,-0.023782466,0.99778885,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529367599,0.34120688,-0.17416388,-0.03605763,0.056695126,0.026114618,-0.023326728,0.99777734,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529399507,-0.3046905,0.26283002,0.0039140177,0.05701394,0.025648326,-0.02373667,0.9977616,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529431598,0.320693,-0.15477347,-0.053480774,0.057337087,0.025290253,-0.02284435,0.997773,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529463568,-0.06764715,0.026907664,-0.0033067588,0.057696052,0.024533749,-0.0233452,0.9977597,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529495578,0.13066335,0.08227777,-0.03625512,0.0581772,0.023813892,-0.022761935,0.9977627,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529527584,-0.24418941,-0.14695156,-0.025127348,0.05858947,0.024684452,-0.023212792,0.99770695,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529555605,-0.124991775,0.27475846,0.0131823905,0.058866695,0.024651948,-0.0235724,0.997683,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529587533,0.041482046,-0.22751245,-0.045686603,0.059231568,0.025837798,-0.023238165,0.9976393,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529619577,0.057614233,0.08079977,-0.0012781179,0.059445545,0.026546039,-0.023678765,0.9975975,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529651511,0.13367628,-0.2831192,-0.028157532,0.059741687,0.026674727,-0.02358888,0.99757856,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529683524,-0.04162527,0.41572696,0.013623635,0.059946157,0.026329385,-0.023789741,0.99757075,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529715568,0.065079585,-0.36930445,-0.032153625,0.06009657,0.02621575,-0.02319878,0.9975786,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529747529,0.14906287,0.28146997,0.010960601,0.060181145,0.025301807,-0.023311194,0.9975945,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529779524,-0.0041391663,-0.21298413,-0.018590163,0.060338236,0.024391288,-0.023197586,0.9976103,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529812399,0.017393738,0.6710658,0.010180936,0.060526464,0.023262136,-0.022385754,0.9976444,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529844338,0.12652466,-0.65145457,-0.037969917,0.060689505,0.024020419,-0.021413395,0.9976379,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529876382,0.15753487,0.44665626,0.0065950975,0.06083988,0.023138026,-0.020593412,0.99766684,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529908412,0.02252973,-0.5051009,-0.031033466,0.061137784,0.024380974,-0.020099778,0.99762905,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529940416,-0.082821935,0.57979375,0.002656761,0.061402347,0.023781713,-0.01953962,0.9976384,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2529972427,0.25176272,-0.6370071,-0.03965773,0.06160247,0.024749406,-0.018729934,0.99761814,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2530000332,-0.018099621,-0.06882611,-0.032016728,0.06178603,0.02423389,-0.018400187,0.9976255,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2530032295,-0.05759884,0.1717124,0.001842592,0.061922766,0.022993764,-0.017926041,0.9976551,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2530064395,0.17180493,-0.11466682,-0.030334461,0.062159926,0.023172883,-0.017306276,0.99764705,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2530096357,-0.1466089,0.17946967,0.019519143,0.062375885,0.02235757,-0.017577222,0.99764746,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2530128315,-0.099407844,-0.0418829,-0.036558174,0.06261063,0.02398577,-0.017333474,0.9975992,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2530157197,-0.06706469,0.2509456,0.020682953,0.06268931,0.024480045,-0.017649991,0.9975767,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
