timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
2499958013,1544809279800352,323881342,-1170760197,42221,7778,0.18,0.10971715,0.71500003,1.092,0.53,0.77,108,4,1.4870001,-0.086,-1.485,-0.347,4.6950645,0,nan,0.0,4,1,22
2500174022,1544809280000352,323881339,-1170760233,42317,7874,0.20500001,0.10412546,0.71300006,1.0860001,0.53,0.77,108,4,1.7950001,-0.061000004,-1.794,-0.224,4.686397,0,nan,0.0,4,1,22
2500365288,1544809280200352,323881335,-1170760278,42361,7919,0.193,0.0735637,0.70900005,1.0780001,0.53,0.77,108,4,2.342,-0.05,-2.342,-0.18400002,4.6894984,0,nan,0.0,4,1,22
2500566028,1544809280400352,323881331,-1170760330,42432,7989,0.18800001,0.067506365,0.70400006,1.07,0.53,0.77,108,4,2.608,-0.096,-2.6060002,-0.23,4.681763,0,nan,0.0,4,1,22
2500768195,1544809280600352,323881331,-1170760393,42488,8045,0.20600002,0.056310426,0.70000005,1.0630001,0.53,0.77,108,4,3.2050002,0.102000006,-3.2040002,-0.21200001,4.719164,0,nan,0.0,4,1,22
2500966102,1544809280800352,323881331,-1170760469,42492,8050,0.19700001,0.044275682,0.69500005,1.042,0.53,0.77,108,4,3.545,0.10300001,-3.5440001,-0.08400001,4.733207,0,nan,0.0,4,1,22
2501167333,1544809281000352,323881334,-1170760549,42534,8091,0.2,0.04043701,0.69100004,1.0380001,0.53,0.77,108,4,4.136,0.21100001,-4.131,-0.115,4.750432,0,nan,0.0,4,1,22
2501363219,1544809281200352,323881342,-1170760636,42561,8118,0.201,0.036515776,0.68500006,1.021,0.53,0.77,108,4,4.5880003,0.294,-4.578,0.017,4.765696,0,nan,0.0,4,1,22
2501565060,1544809281400351,323881354,-1170760731,42571,8129,0.18100001,0.032932267,0.68,1.005,0.53,0.77,108,4,5.1130004,0.45600003,-5.0930004,-0.034,4.7871933,0,nan,0.0,4,1,22
2501765023,1544809281600351,323881364,-1170760844,42585,8142,0.18300001,0.030046364,0.674,0.99600005,0.53,0.77,108,4,5.585,0.57500005,-5.5550003,0.024,4.804414,0,nan,0.0,4,1,22
2501962032,1544809281800351,323881374,-1170760965,42621,8179,0.185,0.026839148,0.66800004,0.98600006,0.53,0.77,108,4,6.097,0.66300005,-6.0610003,0.293,4.8151307,0,nan,0.0,4,1,22
2502170109,1544809282000351,323881386,-1170761101,42548,8105,0.21400002,0.026408225,0.66400003,0.975,0.53,0.77,108,6,6.5080004,0.795,-6.459,0.69500005,4.82709,0,nan,0.0,4,1,22
2502362051,1544809282200351,323881403,-1170761248,42347,7905,0.20400001,0.02502191,0.65900004,0.96000004,0.53,0.77,108,6,7.1580005,0.99500006,-7.089,0.99000007,4.8428497,0,nan,0.0,4,1,22
2502554038,1544809282400351,323881422,-1170761408,42123,7680,0.22000001,0.022950206,0.657,0.95100003,0.53,0.77,108,6,7.774,1.169,-7.6860003,0.92100006,4.8565187,0,nan,0.0,4,1,22
2502763259,1544809282600351,323881444,-1170761577,41948,7505,0.21400002,0.02198399,0.65500003,0.94600004,0.53,0.77,108,6,8.063001,1.35,-7.9490004,0.92100006,4.8806467,0,nan,0.0,4,1,22
2502959310,1544809282800351,323881471,-1170761753,41752,7309,0.19900002,0.020275664,0.651,0.93500006,0.53,0.77,108,6,8.56,1.5680001,-8.415,0.998,4.896642,0,nan,0.0,4,1,22
2503160281,1544809283000351,323881501,-1170761940,41500,7057,0.18900001,0.018519688,0.646,0.92300004,0.53,0.77,108,3,8.994,1.7080001,-8.830001,1.052,4.903477,0,nan,0.0,4,1,22
2503364057,1544809283200351,323881534,-1170762132,41280,6837,0.2,0.019379785,0.643,0.915,0.53,0.77,108,3,9.335,1.9760001,-9.124001,1.006,4.9256406,0,nan,0.0,4,1,22
2503559695,1544809283400351,323881571,-1170762330,41111,6668,0.18900001,0.01888865,0.64000005,0.90800005,0.53,0.77,108,3,9.503,2.177,-9.25,0.98600006,4.943556,0,nan,0.0,4,1,22
2503761046,1544809283600351,323881613,-1170762531,40936,6493,0.19800001,0.01894485,0.637,0.90300006,0.53,0.77,108,3,9.803,2.436,-9.495001,0.855,4.9635377,0,nan,0.0,4,1,22
