timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
2537418027,-0.24776338,-0.0618855,0.43876877
2537440032,-0.24776338,-0.060661238,0.43657693
2537461987,-0.2505954,-0.059436977,0.4398647
2537484497,-0.24634737,-0.059436977,0.43767285
2537508923,-0.24209936,-0.06310976,0.43657693
2537533003,-0.2520114,-0.0618855,0.435481
2537556578,-0.25342742,-0.0618855,0.4398647
2537580593,-0.24776338,-0.0618855,0.43876877
2537604465,-0.24634737,-0.060661238,0.44096062
2537628755,-0.2505954,-0.0618855,0.43657693
2537650988,-0.24634737,-0.060661238,0.43876877
2537672995,-0.24634737,-0.06310976,0.4343851
2537693983,-0.2505954,-0.0618855,0.43767285
2537717260,-0.2491794,-0.06433402,0.43328917
2537741246,-0.2491794,-0.0618855,0.435481
2537761994,-0.2491794,-0.0618855,0.43219322
2537784553,-0.2505954,-0.06310976,0.43767285
2537805256,-0.25342742,-0.065558285,0.43876877
2537827109,-0.2548434,-0.06310976,0.4343851
2537851139,-0.2520114,-0.060661238,0.4398647
2537875105,-0.2505954,-0.0618855,0.43876877
2537901260,-0.24493137,-0.05821271,0.435481
2537923112,-0.24634737,-0.059436977,0.4343851
2537946984,-0.24634737,-0.060661238,0.43876877
2537968522,-0.24776338,-0.0618855,0.4398647
2537991100,-0.24493137,-0.05821271,0.4398647
2538013984,-0.24634737,-0.06310976,0.44096062
2538036020,-0.24351536,-0.06310976,0.43876877
2538059109,-0.24351536,-0.06433402,0.44205654
2538082061,-0.23643531,-0.060661238,0.43876877
2538105339,-0.23785132,-0.06310976,0.44096062
2538128037,-0.24068333,-0.06433402,0.44205654
2538150058,-0.24068333,-0.06433402,0.43767285
2538174063,-0.23785132,-0.06433402,0.4398647
2538198055,-0.24351536,-0.06310976,0.43657693
2538219995,-0.24068333,-0.06433402,0.435481
2538244056,-0.24493137,-0.06310976,0.4398647
2538266995,-0.24493137,-0.060661238,0.43657693
2538289281,-0.24493137,-0.056988448,0.43876877
2538310983,-0.2491794,-0.06433402,0.43767285
2538334106,-0.24351536,-0.06310976,0.43657693
2538358158,-0.24351536,-0.06310976,0.44096062
2538379984,-0.24493137,-0.060661238,0.43876877
2538404026,-0.24493137,-0.0618855,0.43657693
2538428066,-0.24776338,-0.05821271,0.4398647
2538450121,-0.24068333,-0.055764187,0.44205654
2538472048,-0.24351536,-0.056988448,0.43876877
2538494995,-0.24209936,-0.060661238,0.43767285
2538516984,-0.24634737,-0.0618855,0.43876877
2538540983,-0.24493137,-0.05821271,0.435481
2538564041,-0.24209936,-0.05821271,0.43876877
2538584984,-0.24209936,-0.060661238,0.4398647
2538607078,-0.24068333,-0.05821271,0.43767285
2538631231,-0.24068333,-0.056988448,0.43767285
2538654983,-0.24634737,-0.05821271,0.43657693
2538676983,-0.24776338,-0.05331566,0.43876877
2538700024,-0.24493137,-0.0618855,0.44205654
2538722184,-0.24351536,-0.056988448,0.4398647
2538743354,-0.24351536,-0.059436977,0.43657693
2538764996,-0.24634737,-0.05821271,0.43657693
2538788024,-0.24776338,-0.060661238,0.43328917
2538809994,-0.2505954,-0.056988448,0.43767285
2538832074,-0.25342742,-0.055764187,0.435481
2538854027,-0.2548434,-0.056988448,0.43767285
2538876984,-0.2520114,-0.056988448,0.4343851
2538898983,-0.2562594,-0.055764187,0.435481
2538921027,-0.2562594,-0.05331566,0.43657693
2538944024,-0.2520114,-0.056988448,0.435481
2538965983,-0.25342742,-0.054539926,0.43876877
2538989016,-0.24776338,-0.0520914,0.43767285
2539011015,-0.2491794,-0.054539926,0.43876877
2539034026,-0.24493137,-0.056988448,0.43876877
2539056030,-0.24634737,-0.054539926,0.44096062
2539077992,-0.24209936,-0.054539926,0.44096062
2539100038,-0.24493137,-0.054539926,0.43876877
2539120986,-0.23926733,-0.055764187,0.4398647
2539144024,-0.24493137,-0.054539926,0.43876877
2539164986,-0.24493137,-0.055764187,0.4343851
2539188984,-0.24634737,-0.055764187,0.4398647
2539212501,-0.2491794,-0.060661238,0.43657693
2539233994,-0.24634737,-0.054539926,0.43767285
2539256067,-0.24351536,-0.056988448,0.43767285
2539276984,-0.2520114,-0.056988448,0.43657693
2539300708,-0.24634737,-0.055764187,0.4343851
2539322026,-0.2491794,-0.05821271,0.4343851
2539342984,-0.2520114,-0.054539926,0.43767285
2539365056,-0.24634737,-0.05821271,0.4343851
2539388985,-0.24776338,-0.056988448,0.43876877
2539409983,-0.2491794,-0.056988448,0.44096062
2539432086,-0.2491794,-0.056988448,0.43657693
2539453983,-0.24776338,-0.05331566,0.43657693
2539476495,-0.24634737,-0.054539926,0.43767285
2539501072,-0.24634737,-0.05821271,0.43876877
2539524733,-0.24493137,-0.05821271,0.4343851
2539545984,-0.24634737,-0.05821271,0.43657693
2539568031,-0.24776338,-0.055764187,0.43876877
2539589477,-0.2520114,-0.056988448,0.4343851
2539611260,-0.2505954,-0.060661238,0.43767285
2539634015,-0.2491794,-0.056988448,0.435481
2539656558,-0.2520114,-0.0618855,0.435481
2539678983,-0.2491794,-0.060661238,0.43876877
2539701987,-0.2520114,-0.06433402,0.43657693
2539723107,-0.24351536,-0.059436977,0.44205654
2539746996,-0.24493137,-0.060661238,0.43657693
2539768993,-0.24351536,-0.06310976,0.44096062
2539791109,-0.24351536,-0.059436977,0.4398647
2539814053,-0.24351536,-0.06310976,0.44096062
2539837252,-0.24351536,-0.060661238,0.4398647
2539859122,-0.24493137,-0.06433402,0.43876877
2539883133,-0.24493137,-0.060661238,0.44096062
2539906994,-0.24351536,-0.06310976,0.43767285
2539928983,-0.24351536,-0.059436977,0.43657693
2539950983,-0.24776338,-0.060661238,0.43657693
2539974055,-0.24209936,-0.0618855,0.43767285
2539998135,-0.24776338,-0.0618855,0.44096062
2540020005,-0.24351536,-0.0618855,0.43767285
2540044037,-0.24068333,-0.06433402,0.44205654
2540068015,-0.24068333,-0.05821271,0.43876877
2540091110,-0.24068333,-0.059436977,0.44315246
2540113995,-0.23785132,-0.0618855,0.44205654
2540136062,-0.23785132,-0.060661238,0.4398647
2540158043,-0.24209936,-0.060661238,0.44205654
2540182332,-0.23501931,-0.06310976,0.43876877
2540206141,-0.23785132,-0.059436977,0.43767285
