timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
2493174105,nan,nan,nan,nan,2.5072982,5.782497,3.5536005,-1.7821237,nan,nan,nan,nan,nan,nan,nan,nan,nan
2493372332,nan,nan,nan,nan,2.5629194,5.0689173,3.7241454,-1.7846171,nan,nan,nan,nan,nan,nan,nan,nan,nan
2493578748,nan,nan,nan,nan,2.6092296,4.2030115,3.5188973,-1.7823181,nan,nan,nan,nan,nan,nan,nan,nan,nan
2493780543,nan,nan,nan,nan,2.5954757,4.813148,3.4784563,-1.7820108,nan,nan,nan,nan,nan,nan,nan,nan,nan
2493980605,nan,nan,nan,nan,2.6269727,4.3266964,3.126899,-1.7817323,nan,nan,nan,nan,nan,nan,nan,nan,nan
2494180266,nan,nan,nan,nan,2.6556451,3.8412223,2.7760487,-1.7801274,nan,nan,nan,nan,nan,nan,nan,nan,nan
2494389350,nan,nan,nan,nan,2.6679275,3.3328373,2.4086392,-1.7465806,nan,nan,nan,nan,nan,nan,nan,nan,nan
2494589098,nan,nan,nan,nan,1.4073181,2.8471768,2.0576527,-1.4975362,nan,nan,nan,nan,nan,nan,nan,nan,nan
2494789177,nan,nan,nan,-2.2950277,0.0,2.3606613,1.7060478,-1.501955,nan,nan,nan,nan,nan,nan,nan,nan,nan
2494989832,nan,nan,nan,-2.2950277,-0.0,1.8727715,1.3534502,-1.5019658,nan,nan,nan,nan,nan,nan,nan,nan,nan
2495199369,nan,nan,nan,-2.2950277,0.0,1.3632851,0.9852448,-1.5132453,nan,nan,nan,nan,nan,nan,nan,nan,nan
2495402692,nan,nan,nan,-2.2950277,0.0,0.86890554,0.6279571,-1.5090598,nan,nan,nan,nan,nan,nan,nan,nan,nan
2495604028,nan,nan,nan,-2.2950277,-0.0,0.37953943,0.27429277,-1.5090654,nan,nan,nan,nan,nan,nan,nan,nan,nan
2495803572,nan,nan,nan,-2.2950277,0.0,0.0,0.0,-1.5131403,nan,nan,nan,nan,nan,nan,nan,nan,nan
2496004203,nan,nan,nan,-2.2950277,0.0,0.0,0.0,-1.5165033,nan,nan,nan,nan,nan,nan,nan,nan,nan
2496205682,72.32851,39.888054,nan,-2.2950277,-0.0,0.0,0.0,-1.5090578,nan,nan,nan,nan,nan,nan,nan,nan,nan
2496412279,72.32851,39.888054,nan,-2.2950277,0.0,0.0,0.0,-1.5089314,nan,nan,nan,nan,nan,nan,nan,nan,nan
2496613058,72.32851,39.888054,nan,-2.2950277,0.0,0.0,0.0,-1.5084797,nan,nan,nan,nan,nan,nan,nan,nan,nan
2496821114,72.32851,39.888054,nan,-2.2950277,-0.0,0.0,0.0,-1.5160936,nan,nan,nan,nan,nan,nan,nan,nan,nan
2497022588,72.32851,39.888054,nan,-2.2950277,0.0,0.0,0.0,-1.5091306,nan,nan,nan,nan,nan,nan,nan,nan,nan
2497223673,72.32851,39.888054,nan,-2.2950277,0.0,0.0,0.0,-1.5097301,nan,nan,nan,nan,nan,nan,nan,nan,nan
2497422694,72.32851,39.888054,nan,-2.2950277,0.0,0.0,0.0,-1.5101645,nan,nan,nan,nan,nan,nan,nan,nan,nan
2497624159,72.32851,39.888054,nan,-2.2950277,0.0,0.0,0.0,-1.5135802,nan,nan,nan,nan,nan,nan,nan,nan,nan
2497831493,72.32851,39.888054,nan,-2.2950277,0.0,0.0,0.0,-1.5076325,nan,nan,nan,nan,nan,nan,nan,nan,nan
2498028301,72.32851,39.888054,nan,-2.2950277,0.0,0.0,0.0,-1.5148292,nan,nan,nan,nan,nan,nan,nan,nan,nan
2498237046,72.32851,39.888054,nan,-2.2950277,0.0,0.0,0.0,-1.5162289,nan,nan,nan,nan,nan,nan,nan,nan,nan
2498438427,72.32851,39.888054,nan,-2.2950277,0.0,0.0,0.0,-1.3318986,nan,nan,nan,nan,nan,nan,nan,nan,nan
2498638119,72.32851,39.888054,nan,-2.2950277,-0.0,0.0,0.0,-0.59010476,nan,nan,nan,nan,nan,nan,nan,nan,nan
2498837994,72.32851,39.888054,nan,nan,1.4126391,0.0,0.0,-0.32069093,nan,nan,nan,nan,nan,nan,nan,nan,nan
2499046931,nan,nan,nan,nan,1.6409149,-0.38233486,-0.63624924,-0.30920035,nan,nan,nan,nan,nan,nan,nan,nan,nan
2499246781,nan,nan,nan,nan,1.2133721,-0.52673894,-1.1937829,-0.31624684,nan,nan,nan,nan,nan,nan,nan,nan,nan
2499446675,nan,nan,nan,nan,0.53713053,-0.5194821,-1.7039809,-0.31781444,nan,nan,nan,nan,nan,nan,nan,nan,nan
2499656818,nan,nan,nan,nan,0.25093836,-0.4141239,-2.2179513,-0.31776753,nan,nan,nan,nan,nan,nan,nan,nan,nan
2499856733,nan,nan,nan,nan,0.047690496,-0.2662329,-2.6953769,-0.31634974,nan,nan,nan,nan,nan,nan,nan,nan,nan
2500061404,nan,nan,nan,-1.3503919,-0.0,-0.09845212,-3.1789677,-0.3219343,nan,nan,nan,nan,nan,nan,nan,nan,nan
2500261663,nan,nan,nan,-1.3503919,-0.0,0.06563547,-3.651483,-0.32209763,nan,nan,nan,nan,nan,nan,nan,nan,nan
2500461144,nan,nan,nan,-1.3503919,-0.0,0.22937617,-4.1229997,-0.32088763,nan,nan,nan,nan,nan,nan,nan,nan,nan
2500661114,nan,nan,nan,-1.3503919,-0.0,0.39337528,-4.5952597,-0.32027054,nan,nan,nan,nan,nan,nan,nan,nan,nan
2500870957,nan,nan,nan,-1.3503919,-0.0,0.565473,-5.090841,-0.31760302,nan,nan,nan,nan,nan,nan,nan,nan,nan
2501069936,nan,nan,nan,-1.3503919,-0.0,0.7286635,-5.5607715,-0.32187152,nan,nan,nan,nan,nan,nan,nan,nan,nan
2501271798,nan,nan,nan,-1.3503919,-0.0,0.894214,-6.0374994,-0.31862625,nan,nan,nan,nan,nan,nan,nan,nan,nan
2501478797,nan,nan,nan,-1.3503919,0.0,1.0639769,-6.5263567,-0.31736383,nan,nan,nan,nan,nan,nan,nan,nan,nan
2501679476,nan,nan,nan,-1.3503919,-0.0,1.2285581,-7.0002933,0.16052556,nan,nan,nan,nan,nan,nan,nan,nan,nan
2501885516,nan,nan,nan,nan,0.17347655,1.3991646,-7.486097,0.39724365,nan,nan,nan,nan,nan,nan,nan,nan,nan
2502084347,nan,nan,nan,nan,0.038769368,1.5954938,-7.942649,0.516164,nan,nan,nan,nan,nan,nan,nan,nan,nan
2502284306,nan,nan,nan,-1.3153903,-0.0,1.8313916,-8.383383,0.5185205,nan,nan,nan,nan,nan,nan,nan,nan,nan
2502494588,nan,nan,nan,-1.3153903,-0.0,2.0803988,-8.846372,0.5183385,nan,nan,nan,nan,nan,nan,nan,nan,nan
2502693203,nan,nan,nan,-1.3153903,-0.0,2.3155923,-9.283677,0.51355606,nan,nan,nan,nan,nan,nan,nan,nan,nan
2502895149,nan,nan,nan,-1.3153903,0.0,2.5263824,-9.675609,0.51367384,nan,nan,nan,nan,nan,nan,nan,nan,nan
2503102687,nan,nan,nan,-1.3153903,-0.0,2.5263824,-9.675609,0.5137856,nan,nan,nan,nan,nan,nan,nan,nan,nan
2503304172,nan,nan,nan,nan,0.29236022,2.8233356,-9.5931635,0.51643085,nan,nan,nan,nan,nan,nan,nan,nan,nan
2503503484,nan,nan,nan,nan,0.7864618,3.2810206,-9.445745,0.5138146,nan,nan,nan,nan,nan,nan,nan,nan,nan
2503703664,nan,nan,nan,nan,1.0557128,3.7451959,-9.259111,0.5154544,nan,nan,nan,nan,nan,nan,nan,nan,nan
2503908298,nan,nan,nan,nan,1.7641559,4.1980753,-9.02178,0.83673036,nan,nan,nan,nan,nan,nan,nan,nan,nan
2504109628,nan,nan,nan,nan,2.1557634,4.6076694,-8.730777,0.97161764,nan,nan,nan,nan,nan,nan,nan,nan,nan
2504310456,nan,nan,nan,nan,2.2418096,4.957813,-8.371836,0.99219304,nan,nan,nan,nan,nan,nan,nan,nan,nan
2504510591,nan,nan,nan,nan,2.2336423,5.2260647,-7.95038,1.0032808,nan,nan,nan,nan,nan,nan,nan,nan,nan
2504709908,nan,nan,nan,nan,2.210077,5.3998513,-7.4843388,1.0061582,nan,nan,nan,nan,nan,nan,nan,nan,nan
2504910917,nan,nan,nan,nan,2.1591423,5.471878,-6.9879546,1.0026999,nan,nan,nan,nan,nan,nan,nan,nan,nan
2505118758,nan,nan,nan,nan,2.126377,5.439554,-6.470276,1.0027407,nan,nan,nan,nan,nan,nan,nan,nan,nan
2505320175,nan,nan,nan,nan,2.1342764,5.30593,-5.985738,1.0013372,nan,nan,nan,nan,nan,nan,nan,nan,nan
2505519480,nan,nan,nan,nan,2.1783721,5.0764446,-5.544534,1.0010723,nan,nan,nan,nan,nan,nan,nan,nan,nan
2505719458,nan,nan,nan,nan,2.2321255,4.7502403,-5.1616693,1.0157139,nan,nan,nan,nan,nan,nan,nan,nan,nan
2505924269,nan,nan,nan,nan,2.2738702,4.284078,-4.8228517,1.0194331,nan,nan,nan,nan,nan,nan,nan,nan,nan
2506124298,nan,nan,nan,nan,2.3028061,3.6713774,-4.519731,1.0181257,nan,nan,nan,nan,nan,nan,nan,nan,nan
2506329181,nan,nan,nan,nan,2.2285905,4.1996393,-5.393534,1.0194832,nan,nan,nan,nan,nan,nan,nan,nan,nan
2506529104,nan,nan,nan,nan,1.8865325,3.8311694,-4.9203124,1.0152426,nan,nan,nan,nan,nan,nan,nan,nan,nan
