timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
2482395191,32767,32767,32767,32767,32767,32767,32767
2482399199,32767,32767,32767,32767,32767,-71,32767
2482403203,32767,32767,32767,32767,-63,32767,32767
2482407191,32767,32767,32767,32767,32767,32767,32767
2482411191,32767,32767,32767,32767,32767,32767,32767
2482415193,32767,32767,32767,32767,32767,32767,32767
2482419200,32767,32767,32767,32767,32767,-53,32767
2482423192,32767,32767,32767,32767,-42,32767,32767
2482427197,32767,32767,32767,32767,32767,32767,32767
2482431194,32767,32767,32767,32767,32767,32767,32767
2482435207,32767,32767,32767,32767,-55,32767,32767
2482439198,32767,32767,32767,32767,32767,32767,32767
2482443193,32767,32767,32767,32767,32767,-62,32767
2482447193,32767,32767,32767,32767,-71,32767,32767
2482451202,32767,32767,32767,32767,32767,32767,32767
2482455193,32767,32767,32767,32767,32767,32767,32767
2482459197,32767,32767,32767,32767,32767,32767,32767
2482463200,32767,32767,32767,32767,32767,32767,32767
2482467191,32767,32767,32767,32767,-52,-80,32767
2482471192,32767,32767,32767,32767,32767,32767,32767
2482475192,32767,32767,32767,32767,32767,32767,32767
2482479178,32767,32767,32767,32767,-58,32767,32767
2482483191,32767,32767,32767,32767,32767,32767,32767
2482487203,32767,32767,32767,32767,32767,-63,32767
2482491191,32767,32767,32767,32767,-68,32767,32767
2482495191,32767,32767,32767,32767,32767,32767,32767
2482499198,32767,32767,32767,32767,32767,32767,32767
2482503197,32767,32767,32767,32767,32767,32767,32767
2482507191,32767,32767,32767,32767,32767,32767,32767
2482511193,32767,32767,32767,32767,-52,-80,32767
2482515192,32767,32767,32767,32767,32767,32767,32767
2482519198,32767,32767,32767,32767,32767,32767,32767
2482523191,32767,32767,32767,32767,-59,32767,32767
2482527193,32767,32767,32767,32767,32767,32767,32767
2482531191,32767,32767,32767,32767,32767,-62,32767
2482535191,32767,32767,32767,32767,-71,32767,32767
2482539198,32767,32767,32767,32767,32767,32767,32767
2482543192,32767,32767,32767,32767,32767,32767,32767
2482547204,32767,32767,32767,32767,32767,32767,32767
2482551199,32767,32767,32767,32767,32767,32767,32767
2482555192,32767,32767,32767,32767,-37,-67,32767
2482559199,32767,32767,32767,32767,32767,32767,32767
2482563202,32767,32767,32767,32767,32767,32767,32767
2482567200,32767,32767,32767,32767,-49,32767,32767
2482571194,32767,32767,32767,32767,32767,32767,32767
2482575197,32767,32767,-40,32767,32767,32767,32767
2482579198,32767,32767,32767,32767,-65,-91,32767
2482583191,32767,32767,32767,32767,32767,32767,32767
2482587191,32767,32767,32767,32767,32767,32767,32767
2482591193,32767,32767,32767,32767,32767,32767,32767
2482595191,32767,32767,32767,32767,32767,32767,32767
2482599199,32767,32767,32767,32767,-52,-51,32767
2482603193,32767,32767,32767,32767,32767,32767,32767
2482607192,32767,32767,32767,32767,32767,32767,32767
2482611192,32767,32767,32767,32767,-62,32767,32767
2482615194,32767,32767,32767,32767,32767,32767,32767
2482619197,32767,32767,32767,32767,32767,32767,32767
2482623191,32767,32767,32767,32767,-71,-71,32767
2482627191,32767,32767,32767,32767,32767,32767,32767
2482631191,32767,32767,32767,32767,32767,32767,32767
2482635191,32767,32767,32767,32767,32767,32767,32767
2482639198,32767,32767,32767,32767,32767,32767,32767
2482643192,32767,32767,32767,32767,-51,-51,32767
2482647197,32767,32767,32767,32767,32767,32767,32767
2482651202,32767,32767,32767,32767,32767,32767,32767
2482655199,32767,32767,32767,32767,-62,32767,32767
2482659197,32767,32767,32767,32767,32767,32767,32767
2482663192,32767,32767,32767,32767,32767,32767,32767
2482667192,32767,32767,32767,32767,-67,-66,32767
2482671192,32767,32767,32767,32767,32767,32767,32767
2482675192,32767,32767,32767,32767,32767,32767,32767
2482679199,32767,32767,32767,32767,32767,32767,32767
2482683192,32767,32767,32767,32767,32767,32767,32767
2482687196,32767,32767,32767,32767,-52,32767,32767
2482691200,32767,32767,32767,32767,32767,-68,32767
