timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2481440789,0.016990984,-0.039109726,0.014049858,3999,0,0.56241924,2.2429063,-10.867554,3999
2481444796,0.058530428,-0.078966916,0.032768887,4007,0,-1.800356,-1.612969,-10.701071,4007
2481448790,-0.065359116,0.012825367,0.016235922,3994,0,0.49058405,0.05935465,-8.756145,3994
2481452790,0.021121195,0.0357866,0.013873299,4000,0,-1.2176408,1.2925417,-9.879071,4000
2481456789,0.0046310513,0.071441,0.013797378,3999,0,0.54305005,-0.39964417,-9.650639,3999
2481464796,0.06413916,-0.059325587,0.05095399,4007,0,-2.4269736,0.16744106,-9.755639,4007
2481468790,-0.027181083,0.016214969,0.024153193,3994,0,1.1873183,-0.5805779,-8.964101,3994
2481472790,0.02041512,-0.02958506,-0.0030226426,4000,0,-0.764817,1.8548588,-10.230097,4000
2481476790,0.016748916,0.07882723,0.00720044,4000,0,-1.3887957,-0.5836471,-10.312258,4000
2481480789,-0.048054256,0.03242581,0.0049521206,3999,0,1.7953331,2.4890783,-10.2398205,3999
2481484794,0.04248583,-0.097224385,0.014030954,4005,0,-1.558162,0.12884577,-9.693057,4005
2481488790,-0.07799418,0.06830256,0.008403042,3996,0,-1.1106781,-0.4023726,-9.388845,3996
2481492790,-0.0010221867,0.057996236,-0.014674379,4000,0,1.0851372,2.0526423,-9.535721,4000
2481496790,0.008275161,0.012636362,-0.02734295,4000,0,-1.4499094,-0.5920044,-9.459649,4000
2481500790,-0.09468401,0.081429794,-0.020197762,4000,0,0.5943777,1.9442905,-10.74452,4000
2481504795,0.019967666,-0.0033768197,-0.004381236,4005,0,0.31570867,1.5694014,-9.670388,4005
2481508790,-0.044477355,-0.021945722,0.00067380286,3995,0,-1.080281,-0.3666065,-8.492522,3995
2481512789,-0.016856972,0.03460684,-0.015740177,3999,0,0.24901074,0.98416585,-9.069231,3999
2481516789,0.049662646,0.011692826,-0.03416594,4000,0,-0.71046054,0.5589133,-9.100701,4000
2481520790,-0.048091184,0.02561391,-0.025431432,4001,0,-0.21245061,1.3562818,-12.307612,4001
2481524795,-0.00727549,0.01813442,-0.009159664,4005,0,0.46014145,1.455526,-10.69617,4005
2481528790,0.02034054,-0.03069895,0.0154990675,3995,0,-0.30764866,-0.30364406,-9.970131,3995
2481532790,-0.07902734,0.00011871889,0.010982843,4000,0,-0.35821778,1.2621346,-9.148327,4000
2481536789,0.056473624,0.04646977,-0.017772038,3999,0,-0.24303196,0.20087074,-8.300678,3999
2481540790,-0.050149184,0.051371567,-0.012542644,4001,0,0.29740748,0.818132,-10.529941,4001
