rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vtol_state,landed_state
1545224325981435473,,5720,,1545224325,948619977,'',0,2
1545224326156937695,,5721,,1545224326,147581457,'',0,2
1545224326357997930,,5722,,1545224326,348655948,'',0,2
1545224326554659772,,5723,,1545224326,545973894,'',0,2
1545224326757931536,,5724,,1545224326,748187181,'',0,2
1545224326960925330,,5725,,1545224326,947330796,'',0,2
1545224327159319967,,5726,,1545224327,144867856,'',0,2
1545224327484542919,,5727,,1545224327,346364376,'',0,2
1545224327560715192,,5728,,1545224327,547658397,'',0,2
1545224327748936729,,5729,,1545224327,745842225,'',0,2
1545224327954036926,,5730,,1545224327,946957028,'',0,2
1545224328157516506,,5731,,1545224328,148461257,'',0,2
1545224328359351849,,5732,,1545224328,347211697,'',0,2
1545224328564161160,,5733,,1545224328,550507323,'',0,2
1545224328752296706,,5734,,1545224328,745850436,'',0,2
1545224328975872416,,5735,,1545224328,948152942,'',0,2
1545224329160873707,,5736,,1545224329,150444251,'',0,2
1545224329350048725,,5737,,1545224329,347335169,'',0,2
1545224329562758058,,5738,,1545224329,545752382,'',0,2
1545224329758469965,,5739,,1545224329,748445199,'',0,2
1545224329983046205,,5740,,1545224329,948876569,'',0,2
1545224330154777561,,5741,,1545224330,149850436,'',0,2
1545224330352783348,,5742,,1545224330,349131135,'',0,2
1545224330561688259,,5743,,1545224330,546277417,'',0,2
1545224330749022163,,5744,,1545224330,743079013,'',0,2
1545224330955742022,,5745,,1545224330,946368338,'',0,2
1545224331157392913,,5746,,1545224331,147951578,'',0,2
1545224331353049010,,5747,,1545224331,348100189,'',0,2
1545224331579145146,,5748,,1545224331,546340841,'',0,2
1545224331837752646,,5749,,1545224331,747832206,'',0,2
1545224331951782591,,5750,,1545224331,945774839,'',0,2
1545224332173594952,,5751,,1545224332,147164642,'',0,2
1545224332362313460,,5752,,1545224332,349208766,'',0,2
1545224332622691446,,5753,,1545224332,547136451,'',0,2
1545224332831559390,,5754,,1545224332,747599593,'',0,2
1545224332952449576,,5755,,1545224332,948097317,'',0,2
1545224333266345095,,5756,,1545224333,148097753,'',0,2
1545224333685664757,,5757,,1545224333,348239959,'',0,2
1545224333685676318,,5758,,1545224333,549381066,'',0,2
1545224333960160946,,5759,,1545224333,749096451,'',0,2
1545224334075483650,,5760,,1545224333,944141859,'',0,2
1545224334195104522,,5761,,1545224334,150978772,'',0,2
1545224334351601449,,5762,,1545224334,347408705,'',0,2
1545224334712599889,,5763,,1545224334,548364553,'',0,2
1545224334785704378,,5764,,1545224334,750098731,'',0,2
1545224334998243789,,5765,,1545224334,944797943,'',0,2
1545224335170443726,,5766,,1545224335,149305857,'',0,2
1545224335354588375,,5767,,1545224335,346335840,'',0,2
1545224335621886245,,5768,,1545224335,545581071,'',0,2
1545224335753443570,,5769,,1545224335,745153437,'',0,2
1545224335952027198,,5770,,1545224335,946169233,'',0,2
1545224336152708427,,5771,,1545224336,149111166,'',0,2
1545224336357383127,,5772,,1545224336,347315674,'',0,2
1545224336575097729,,5773,,1545224336,547517777,'',0,2
1545224336755580225,,5774,,1545224336,748272898,'',0,2
1545224336952717211,,5775,,1545224336,949422860,'',0,2
1545224337155705837,,5776,,1545224337,147946065,'',0,2
1545224337373884580,,5777,,1545224337,346393437,'',0,2
1545224337560455435,,5778,,1545224337,547006683,'',0,2
1545224337762453043,,5779,,1545224337,748392322,'',0,2
1545224337956772891,,5780,,1545224337,947394796,'',0,2
1545224338184539385,,5781,,1545224338,146533779,'',0,2
1545224338368614773,,5782,,1545224338,346631924,'',0,2
1545224338634106381,,5783,,1545224338,546883454,'',0,2
1545224338772152251,,5784,,1545224338,747637117,'',0,2
1545224338969916560,,5785,,1545224338,946669591,'',0,2
1545224339157482072,,5786,,1545224339,150530010,'',0,2
1545224339901073018,,5787,,1545224339,347111558,'',0,2
1545224340032417753,,5788,,1545224339,546655384,'',0,2
1545224340122466790,,5789,,1545224339,745160829,'',0,2
1545224340122473281,,5790,,1545224339,948618698,'',0,2
1545224340157875248,,5791,,1545224340,146701698,'',0,2
1545224340415064424,,5792,,1545224340,349034937,'',0,2
1545224340555646526,,5793,,1545224340,548224442,'',0,2
1545224340795756031,,5794,,1545224340,745088124,'',0,2
1545224340953463694,,5795,,1545224340,946969752,'',0,2
1545224341198371181,,5796,,1545224341,148939660,'',0,2
1545224341365254592,,5797,,1545224341,347164482,'',0,2
1545224341551810525,,5798,,1545224341,547532210,'',0,2
1545224341754150275,,5799,,1545224341,747344942,'',0,2
1545224341977405816,,5800,,1545224341,948933602,'',0,2
1545224342232610334,,5801,,1545224342,146728947,'',0,2
1545224342393399356,,5802,,1545224342,347517663,'',0,2
1545224342637252015,,5803,,1545224342,550326474,'',0,2
1545224342762644282,,5804,,1545224342,747284740,'',0,2
1545224343133995732,,5805,,1545224342,946468048,'',0,2
1545224343523723971,,5806,,1545224343,151397994,'',0,2
1545224343592766470,,5807,,1545224343,349475006,'',0,2
1545224343617728514,,5808,,1545224343,545199632,'',0,2
1545224343775547276,,5809,,1545224343,745079708,'',0,2
1545224343990636800,,5810,,1545224343,946016444,'',0,2
1545224344169774144,,5811,,1545224344,145782458,'',0,2
1545224344466177486,,5812,,1545224344,345581076,'',0,2
1545224344554201076,,5813,,1545224344,551514924,'',0,2
1545224344816873187,,5814,,1545224344,749704383,'',0,2
1545224344954585509,,5815,,1545224344,947273116,'',0,2
1545224345151902500,,5816,,1545224345,147142306,'',0,2
1545224345392987152,,5817,,1545224345,345434577,'',0,2
