rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1545224271372889877,,17215,,1545224271,337997696,'',255,"[1517, 1515, 1178, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271407139567,,17216,,1545224271,385997696,'',255,"[1517, 1515, 1178, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271474864146,,17217,,1545224271,429991808,'',255,"[1517, 1515, 1178, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271511758577,,17218,,1545224271,477991808,'',255,"[1517, 1515, 1196, 1510, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271584401912,,17219,,1545224271,545990016,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271610574804,,17220,,1545224271,589990016,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271664279147,,17221,,1545224271,633989504,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271725749016,,17222,,1545224271,678989504,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271787138535,,17223,,1545224271,742982592,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271822060496,,17224,,1545224271,782982592,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271905849851,,17225,,1545224271,846979776,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271934938964,,17226,,1545224271,890979776,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224271975673339,,17227,,1545224271,938982336,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272014899792,,17228,,1545224271,978982336,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272122430265,,17229,,1545224272,38977984,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272132569982,,17230,,1545224272,80977984,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272190739409,,17231,,1545224272,144971840,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272301125279,,17232,,1545224272,192971840,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272432577691,,17233,,1545224272,236969280,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272432598240,,17234,,1545224272,280969280,'',255,"[1517, 1515, 1209, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272492882112,,17235,,1545224272,344962624,'',255,"[1517, 1515, 1210, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272492943302,,17236,,1545224272,388962624,'',255,"[1517, 1515, 1210, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272530787838,,17237,,1545224272,433959296,'',255,"[1517, 1515, 1210, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272530794650,,17238,,1545224272,478959296,'',255,"[1517, 1515, 1210, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272624347854,,17239,,1545224272,542956224,'',255,"[1517, 1515, 1210, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272633693659,,17240,,1545224272,586956224,'',255,"[1517, 1515, 1211, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272688336158,,17241,,1545224272,650954176,'',255,"[1517, 1515, 1222, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272710023147,,17242,,1545224272,694954176,'',255,"[1517, 1515, 1239, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272782323677,,17243,,1545224272,738951872,'',255,"[1517, 1515, 1239, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272842187609,,17244,,1545224272,782951872,'',255,"[1517, 1515, 1239, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272898947287,,17245,,1545224272,846947264,'',255,"[1517, 1515, 1239, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
